0, 0, 36, 12, -1, -1, -1, -1
1, 0.000194, 8, 12, -1, -1, -1, -1
2, 0.015902, 568, 2194, -1, -1, -1, -1
3, 0.22731, 1509, 7305, 4024.37, 41.305, 0, -1
7, 0.06219, 865, 3918, 1289.91, 7.77146, -1, -1
6, 0.013432, 5196, 25111, 1289.91, 5.41743, -1, -1
7, 0.163729, 2114, 9712, 31.6556, 4.14893, -1, -1
8, 0.052099, 2114, 9658, 13.5161, 4.04479, -1, -1
9, 0.033437, 2114, 9658, 7.46484, 3.81136, -1, -1
7, 0.025815, 1873, 8489, 6.29044, 3.77923, -1, -1
7, 0.05861, 1288, 5535, 9.97125, 3.93501, -1, -1
8, 0.020657, 1288, 5461, 8.5928, 3.78041, -1, -1
7, 0.005024, 1270, 5371, 8.5928, 3.78578, -1, -1
8, 0.015194, 1270, 5369, 8.5928, 3.78283, -1, -1
7, 0.002841, 1269, 5361, 8.5928, 3.78643, -1, -1
8, 0.014785, 1269, 5362, 8.5928, 3.78404, -1, -1
4, 0.469302, 1269, 5362, 8.5928, 3.78404, -1, -1
5, 0.019712, 561, 2027, 7.1393, 3.792, -1, -1
-1, 0.73242, 561, 2027, 7.1393, 3.792, 0, 18
